Year,GDP_USD,GDP_Growth_Rate
1967,5667756627.92093,0.0
1968,7076465299.81141,24.854784077191905
1969,8337423312.88344,17.819037607739485
1970,9150684931.50685,9.75435201145074
1971,9333536369.94567,1.998226797310454
1972,10997590361.4458,17.828762063417326
1973,16273253012.0482,47.97107800175269
1974,25802409638.5542,58.557171202653294
1975,30463855421.6867,18.065932013447792
1976,37269156626.506,22.33893612813931
1977,45808915662.6506,22.91374372038
1978,51455719075.8254,12.326865483477969
1979,51400186342.8889,-0.1079233444482019
1980,72482337397.4439,41.015709386570464
1981,85518233419.0479,17.984927762641
1982,90158449294.9921,5.425995943118567
1983,81052283383.7155,-10.100180274265655
1984,84853700027.651,4.690079643949008
1985,85289488375.4435,0.5135761288552976
1986,79954072544.5279,-6.255654632877095
1987,75929617557.7521,-5.0334584076808575
1988,84300174485.7973,11.024099945819632
1989,94451427876.6628,12.041794044656172
1990,106140727333.636,12.375990199150188
1991,116621996217.133,9.874879461256048
1992,128026966579.964,9.779433325422282
1993,158006700301.533,23.416733616697872
1994,176892143931.505,11.95230556294884
1995,202132028723.115,14.26851652687482
1996,227369679374.973,12.485725696855845
1997,215748998609.635,-5.110919273529612
1998,95445547872.715,-55.76083852634274
1999,140001351215.462,46.68190851831673
2000,165021012077.81,17.871013847461192
2001,160446947784.909,-2.771807199160947
2002,195660611165.183,21.94723169647361
2003,234772463823.808,19.989640442043545
2004,256836875295.452,9.398210979377408
2005,285868619196.085,11.303573082033648
2006,364570515618.357,27.530792517064697
2007,432216737774.861,18.555044705622347
2008,510228634992.258,18.04925408928353
2009,539580085612.401,5.75260747970141
2010,755094157621.936,39.94107228122319
2011,892969104563.171,18.259305220351973
2012,917869913332.649,2.78854090720857
2013,912524136718.018,-0.5824111387659925
2014,890814755533.537,-2.3790473381406496
2015,860854232686.214,-3.3632719553886026
2016,931877364037.698,8.250308664901729
2017,1015618744159.73,8.986309073888421
2018,1042271532988.63,2.62429075695636
2019,1119099871350.2,7.37124021235338
2020,1059054842698.48,-5.36547543154261
2021,1186509691086.73,12.034773200554373
2022,1319101183380.15,11.174918611240226
2023,1371169301563.62,3.947242170615573
2024,1396300098190.97,1.832800413391089
